eventName-token,eventSource-token,eventType-token,userAgent-token
344,48,1,5050
277,86,1,2580
439,86,1,2580
1017,86,1,2580
619,86,1,2580
1182,86,1,2580
1182,86,1,2580
277,86,1,2580
439,86,1,2580
1017,86,1,2580
619,86,1,2580
440,84,1,2580
344,48,1,1580
850,85,1,6970
440,84,1,2580
820,48,1,1580
1088,48,1,1580
440,84,1,2580
440,84,1,2580
440,84,1,2580
440,84,1,2580
440,84,1,2580
440,84,1,2580
464,84,1,2580
392,84,1,2580
440,84,1,2580
440,84,1,2580
440,84,1,2580
440,84,1,2580
440,84,1,2580
440,84,1,2580
440,84,1,2580
440,84,1,2580
1050,84,1,2580
344,48,1,5050
874,98,1,1219
804,98,1,1219
867,16,1,1219
804,98,1,1219
132,98,1,1219
898,98,1,1219
847,98,1,1219
1058,98,1,1219
1112,98,1,1219
847,98,1,1219
1058,98,1,1219
1058,98,1,1219
847,98,1,1219
847,98,1,1219
381,98,1,1219
898,98,1,1219
804,98,1,1219
806,98,1,1219
549,98,1,1219
1103,98,1,1219
874,98,1,1219
867,16,1,1219
1112,98,1,1219
1058,98,1,1219
933,98,1,1219
867,16,1,1219
806,98,1,1219
823,98,1,1219
50,98,1,1219
244,98,1,1219
315,98,1,1219
803,98,1,1219
1087,86,1,4394
1103,98,1,1219
315,98,1,1219
973,24,1,797
342,98,1,1219
166,98,1,1219
823,98,1,1219
804,98,1,1219
315,98,1,1219
823,98,1,1219
867,16,1,1219
132,98,1,1219
847,98,1,1219
132,98,1,1219
1058,98,1,1219
847,98,1,1219
1058,98,1,1219
1058,98,1,1219
847,98,1,1219
898,98,1,1219
381,98,1,1219
874,98,1,1219
1112,98,1,1219
1017,86,1,2580
277,86,1,2580
619,86,1,2580
439,86,1,2580
1182,86,1,2580
460,86,1,2580
147,86,1,2580
445,86,1,2580
460,86,1,2580
1163,86,1,2580
442,86,1,2580
573,86,1,2580
1138,86,1,2580
1087,86,1,4394
898,98,1,1219
255,6,1,797
823,98,1,1219
898,98,1,1219
549,98,1,1219
1119,98,1,1219
549,98,1,1219
344,48,1,5050
412,98,1,1219
412,98,1,1219
898,98,1,1219
255,6,1,797
898,98,1,1219
549,98,1,1219
823,98,1,1219
823,98,1,1219
412,98,1,1219
823,98,1,1219
1207,98,1,1219
707,98,1,1219
132,98,1,1219
699,98,1,1219
874,98,1,1219
1112,98,1,1219
1112,98,1,1219
874,98,1,1219
344,48,1,5050
897,48,1,5050
983,48,1,2237
820,48,1,5050
334,110,1,4394
863,48,1,5050
850,85,1,4394
668,48,1,5050
566,48,1,2237
897,48,1,5050
897,48,1,5050
198,48,1,5050
398,48,1,5050
730,48,1,5050
1094,48,1,5050
897,48,1,5050
1186,48,1,5050
1223,48,1,5050
405,48,1,5050
503,48,1,5050
897,48,1,5050
897,48,1,5050
1223,48,1,5050
566,48,1,2237
850,85,1,4394
334,110,1,4394
983,48,1,2237
897,48,1,5050
897,48,1,5050
863,48,1,5050
897,48,1,5050
1186,48,1,5050
405,48,1,5050
398,48,1,5050
730,48,1,5050
1094,48,1,5050
668,48,1,5050
198,48,1,5050
897,48,1,5050
405,48,1,5050
668,48,1,5050
334,110,1,4394
1223,48,1,5050
566,48,1,2237
1223,48,1,5050
730,48,1,5050
850,85,1,4394
198,48,1,5050
1186,48,1,5050
863,48,1,5050
897,48,1,5050
398,48,1,5050
1223,48,1,5050
983,48,1,2237
1094,48,1,5050
897,48,1,5050
897,48,1,5050
334,110,1,4394
730,48,1,5050
897,48,1,5050
398,48,1,5050
1186,48,1,5050
863,48,1,5050
668,48,1,5050
566,48,1,2237
198,48,1,5050
405,48,1,5050
850,85,1,4394
983,48,1,2237
1094,48,1,5050
897,48,1,5050
897,48,1,5050
983,48,1,2237
1186,48,1,5050
1223,48,1,5050
405,48,1,5050
850,85,1,4394
897,48,1,5050
1094,48,1,5050
730,48,1,5050
1223,48,1,5050
897,48,1,5050
668,48,1,5050
398,48,1,5050
334,110,1,4394
863,48,1,5050
198,48,1,5050
566,48,1,2237
897,48,1,5050
198,48,1,5050
1223,48,1,5050
566,48,1,2237
863,48,1,5050
405,48,1,5050
730,48,1,5050
1186,48,1,5050
1094,48,1,5050
897,48,1,5050
668,48,1,5050
